Epoch 0 / 30, loss: 0.642105499903361, acc: 0.6576190476190475
Epoch 1 / 30, loss: 0.6445023871603466, acc: 0.6500000000000001
Epoch 2 / 30, loss: 0.6114960114161173, acc: 0.6585714285714287
Epoch 3 / 30, loss: 0.5124041537443796, acc: 0.6580952380952381
Epoch 4 / 30, loss: 0.37889382810819716, acc: 0.847142857142857
Epoch 5 / 30, loss: 0.3123993483327684, acc: 0.8714285714285714
Epoch 6 / 30, loss: 0.28862031017030987, acc: 0.8866666666666667
Epoch 7 / 30, loss: 0.27433933104787556, acc: 0.8938095238095236
Epoch 8 / 30, loss: 0.24178316124847957, acc: 0.9119047619047619
Epoch 9 / 30, loss: 0.23087482580116817, acc: 0.9152380952380952
Epoch 10 / 30, loss: 0.22424709300200144, acc: 0.9185714285714287
Epoch 11 / 30, loss: 0.21649563312530518, acc: 0.9266666666666665
Epoch 12 / 30, loss: 0.19141205967891783, acc: 0.9323809523809523
Epoch 13 / 30, loss: 0.1933701652146521, acc: 0.930952380952381
Epoch 14 / 30, loss: 0.21803905921322958, acc: 0.9195238095238096
Epoch 15 / 30, loss: 0.18789312704688027, acc: 0.9357142857142856
Epoch 16 / 30, loss: 0.17678767229829515, acc: 0.9380952380952381
Epoch 17 / 30, loss: 0.16871859558991023, acc: 0.9452380952380951
Epoch 18 / 30, loss: 0.16025503795771373, acc: 0.9461904761904762
Epoch 19 / 30, loss: 0.15864754255328858, acc: 0.9509523809523809
Epoch 20 / 30, loss: 0.14549582167750313, acc: 0.9538095238095239
Epoch 21 / 30, loss: 0.1435880245906966, acc: 0.9533333333333334
Epoch 22 / 30, loss: 0.14355778977984474, acc: 0.9566666666666667
Epoch 23 / 30, loss: 0.14004367980219068, acc: 0.9580952380952381
Epoch 24 / 30, loss: 0.1455849561662901, acc: 0.9552380952380952
Epoch 25 / 30, loss: 0.12209146753663108, acc: 0.9638095238095241
Epoch 26 / 30, loss: 0.15503517041603723, acc: 0.9523809523809522
Epoch 27 / 30, loss: 0.1373751878383614, acc: 0.9557142857142855
Epoch 28 / 30, loss: 0.1343936902426538, acc: 0.9590476190476189
Epoch 29 / 30, loss: 0.13976983477671942, acc: 0.9552380952380952
